nombre,apellido,email,telefono,ciudad,fecha_inscripcion
Ana,García,ana.garcia@email.com,600123456,Madrid,2026-02-10
Carlos,López,carlos.lopez@email.com,611234567,Barcelona,2026-02-11
María,Rodríguez,maria.rodriguez@email.com,622345678,Valencia,2026-02-11
Juan,Pérez,juan.perez@email.com,633456789,Sevilla,2026-02-12
Lucía,Hernández,lucia.hernandez@email.com,644567890,Bilbao,2026-02-12
David,Sánchez,david.sanchez@email.com,655678901,Zaragoza,2026-02-13
Elena,Martín,elena.martin@email.com,666789012,Málaga,2026-02-14
Pablo,Gómez,pablo.gomez@email.com,677890123,Alicante,2026-02-14
Sofía,Díaz,sofia.diaz@email.com,688901234,Valladolid,2026-02-15
Diego,Ruiz,diego.ruiz@email.com,699012345,Granada,2026-02-16
